cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
55147,147.937,True,23947224,6512592,8598656,6366300,10510288,12595792,6247769,5341136,7426672,5207706,4333520,6419488,4187664,7118800,9204248,6986997,7618512,9704280,7473527
55146,510.148,True,124942560,25015760,27101904,24804729,28448208,30533800,24118980,19432912,21518544,19232766,17884624,19970680,17674784,28526032,30611576,28328550,30983632,33069488,30773550
55145,690.857,True,75290072,14280464,16368944,14047710,18224912,20312840,13874677,11421456,13509416,11200657,9926416,12014808,9693344,16291600,18379472,16071593,17737488,19825680,17503856
55144,152.995,True,10786744,2716624,4801656,2571228,6759376,8843856,2494516,2270160,4354672,2134713,1934288,4019232,1788948,2950096,5034520,2815644,3134416,5219160,2991304
55143,175.627,True,23062632,6914512,9000056,6769140,10809808,12894800,6546247,5693904,7778928,5557420,5312976,7398432,5167788,7537104,9622040,7405711,7987664,10072920,7841153
55142,254.135,True,46887952,9786832,11871696,9637269,13469136,15553448,9201121,7980496,10064848,7842425,7529936,9614712,7381140,10704336,12788600,10568677,11371984,13456560,11223122
55141,169.793,True,19840416,6098896,8185296,5953320,9977808,12063656,5715357,5103568,7189456,4968348,4866000,6952312,4719280,6610896,8696696,6478832,7012304,9098416,6866033
55140,156.177,True,21330376,3662800,5749576,3462001,7824336,9910560,3505016,2978768,5065024,2785211,2843600,4930288,2641172,4121552,6207720,3929827,4469712,6556200,4269978
55139,482.7,True,30738280,8754128,10839504,8604557,12649424,14734248,8382393,7136208,9221072,6998568,5784528,7869816,5640036,9610192,11694968,9475598,10290128,12375216,10144192
55138,283.581,True,83625424,13644336,15733176,13425122,17691184,19779472,13353718,10658352,12746672,10450088,8364592,10453344,8149312,15655472,17743704,15451061,17113648,19202200,16895056
55137,256.286,True,44331192,10155472,12240336,10006691,13878736,15963048,9611554,8336848,10421200,8199807,7861712,9946488,7716308,11093456,13177720,10955611,11789776,13874352,11639637
55136,246.855,True,40893640,8410576,10495448,8261392,12252624,14336936,7987951,6862288,8946640,6724351,6370768,8455544,6223408,9213392,11297656,9076507,9795024,11879600,9649096
55135,448.248,True,47411024,17217296,19304336,17046292,20690704,22777192,16401768,14034704,16121224,13876759,12150544,14237488,11982076,18765584,20852016,18610155,19937040,22023792,19766549
55134,1468.65,True,36791528,10748880,12834256,10602829,14316496,16401320,10051905,8750032,10834896,8611092,8180688,10265976,8033512,11678672,13763448,11542979,12358608,14443696,12212745
55133,445.676,True,38226688,8996304,11082616,8784472,13039056,15124816,8707735,7357904,9443696,7155156,6866384,8952600,6656096,10061264,12146968,9862086,10839504,12925528,10629134
55132,401.925,True,38463664,8061904,10147288,7914566,12026832,14111656,7760685,6370256,8455120,6232111,6108112,8193400,5961120,8987600,11072376,8853671,9765840,11850928,9617281
55131,291.714,True,91732424,16249296,18336584,16048786,20177360,22264096,15859658,12665296,14752064,12472922,11157968,13245168,10959228,19010000,21096680,18822314,20857296,22944296,20655971
